HSN,Commodity,Country,Year,Month,Trade Type,Value (Rs Cr),Quantity,Unit
2530,Lithium ores,China,2017,5,Export,3877.7391817773487,25195.984221855146,MT
2530,Lithium ores,Argentina,2017,5,Export,2661.390863971771,21949.509899568933,MT
2530,Lithium ores,Zimbabwe,2017,5,Export,224.5537210460664,6286.679922671918,MT
2508,Graphite ores,China,2017,5,Import,254.00300986499784,32184.11015192524,MT
2508,Graphite ores,Madagascar,2017,5,Import,1640.3443072740008,25919.963867070437,MT
2508,Graphite ores,Mozambique,2017,5,Import,4547.075722237856,13215.319228294873,MT
2508,Graphite ores,Sri Lanka,2017,5,Import,2110.8763228745856,38022.005788609385,MT
2508,Graphite ores,Canada,2017,5,Import,1221.11101090895,4772.015581610856,MT
2508,Graphite ores,China,2017,5,Export,1519.7821192774634,8899.843075446217,MT
2508,Graphite ores,Madagascar,2017,5,Export,4655.518496478608,40597.89859865643,MT
2508,Graphite ores,Mozambique,2017,5,Export,3203.678406901075,43701.568919198166,MT
2508,Graphite ores,Sri Lanka,2017,5,Export,4037.993176805661,10141.932885415756,MT
2508,Graphite ores,Canada,2017,5,Export,4473.539092600891,27427.769853866885,MT
2603,Copper ores,Chile,2017,6,Import,4056.4567603039063,44908.47369625117,MT
2603,Copper ores,Australia,2017,6,Import,1658.217027362133,6392.544301856161,MT
2603,Copper ores,Indonesia,2017,6,Import,1216.8822964555143,21928.28164268656,MT
2603,Copper ores,Peru,2017,6,Import,4108.2723530202165,43175.798579560826,MT
2603,Copper ores,USA,2017,6,Import,134.06543960283443,26026.61782630072,MT
2603,Copper ores,Chile,2017,6,Export,2145.313915429017,11883.282713065782,MT
2603,Copper ores,Australia,2017,6,Export,687.3402999350458,17543.14339877777,MT
2603,Copper ores,Indonesia,2017,6,Export,4720.257549171344,16836.943669017004,MT
2603,Copper ores,Peru,2017,6,Export,2642.0740465424938,35447.92898586371,MT
2603,Copper ores,USA,2017,6,Export,1881.7850516585404,48617.32205332707,MT
2530,Lithium ores,Australia,2017,6,Import,4815.991745216345,13337.332495442844,MT
2530,Lithium ores,Chile,2017,6,Import,2536.5176788726885,15743.037181021713,MT
2530,Lithium ores,China,2017,6,Import,1495.7184224495913,2807.460420372107,MT
2530,Lithium ores,Argentina,2017,6,Import,3086.8652365014946,25631.27213821421,MT
2530,Lithium ores,Zimbabwe,2017,6,Import,352.2458811249478,14653.67674759396,MT
2530,Lithium ores,Australia,2017,6,Export,4550.502841236603,12738.532642681648,MT
2530,Lithium ores,Chile,2017,6,Export,809.9848732469932,24983.185253600586,MT
2530,Lithium ores,China,2017,6,Export,4929.687225141944,12860.70830406352,MT
2530,Lithium ores,Argentina,2017,6,Export,3393.4641822888047,38319.361151107165,MT
2530,Lithium ores,Zimbabwe,2017,6,Export,1264.4239655627584,36682.60108198112,MT
2508,Graphite ores,China,2017,6,Import,1902.1373503243408,31982.985699085395,MT
2508,Graphite ores,Madagascar,2017,6,Import,3204.295582728384,27252.959519663167,MT
2508,Graphite ores,Mozambique,2017,6,Import,542.4198732666007,41929.82228387266,MT
2508,Graphite ores,Sri Lanka,2017,6,Import,1671.8223183615055,10139.407009592858,MT
2508,Graphite ores,Canada,2017,6,Import,299.7981936183432,29953.75421622385,MT
2508,Graphite ores,China,2017,6,Export,3420.065373027184,1812.8036174649515,MT
2508,Graphite ores,Madagascar,2017,6,Export,2609.2559856664766,12098.29298469896,MT
2508,Graphite ores,Mozambique,2017,6,Export,3261.346673006304,9543.955021244581,MT
2508,Graphite ores,Sri Lanka,2017,6,Export,3485.594916702083,19950.031968726333,MT
2508,Graphite ores,Canada,2017,6,Export,4689.976944809999,7738.526263153669,MT
2603,Copper ores,Chile,2017,7,Import,1771.2251201462666,6560.202540788864,MT
2603,Copper ores,Australia,2017,7,Import,4630.998729564958,43989.62831566807,MT
2603,Copper ores,Indonesia,2017,7,Import,1363.9139758042625,33339.21825567477,MT
2603,Copper ores,Peru,2017,7,Import,4104.388780985957,28204.839768373655,MT
2603,Copper ores,USA,2017,7,Import,2695.287833944432,12850.762254122132,MT
2603,Copper ores,Chile,2017,7,Export,556.2035622489061,44963.57213971301,MT
2603,Copper ores,Australia,2017,7,Export,4512.0484801003195,32021.97140639013,MT
2603,Copper ores,Indonesia,2017,7,Export,1761.2459761386333,18111.269156020382,MT
2603,Copper ores,Peru,2017,7,Export,3657.182826464173,44958.402737676275,MT
2603,Copper ores,USA,2017,7,Export,4446.7234788990745,39213.90174702357,MT
2530,Lithium ores,Australia,2017,7,Import,3245.95506615601,5122.8582847573925,MT
2530,Lithium ores,Chile,2017,7,Import,891.9806990636075,45029.15523782688,MT
2530,Lithium ores,China,2017,7,Import,3071.5023923319904,1450.6555292148528,MT
2530,Lithium ores,Argentina,2017,7,Import,597.2105600435573,33511.58668629473,MT
2530,Lithium ores,Zimbabwe,2017,7,Import,124.80176084647157,8879.594519457434,MT
2530,Lithium ores,Australia,2017,7,Export,2788.795567896272,34902.86468694197,MT
2530,Lithium ores,Chile,2017,7,Export,3294.6101715627424,11989.196163567429,MT
2530,Lithium ores,China,2017,7,Export,3589.6781846029257,12625.205287343204,MT
2530,Lithium ores,Argentina,2017,7,Export,1694.4585209804118,37578.07885078318,MT
2530,Lithium ores,Zimbabwe,2017,7,Export,3283.201205331352,42611.947114214716,MT
2508,Graphite ores,China,2017,7,Import,3322.3031722716823,28847.121563438108,MT
2508,Graphite ores,Madagascar,2017,7,Import,559.0063623576532,19018.074349912244,MT
2508,Graphite ores,Mozambique,2017,7,Import,1399.4916016404547,12955.492525575095,MT
2508,Graphite ores,Sri Lanka,2017,7,Import,4867.751718286983,20261.78850867126,MT
2508,Graphite ores,Canada,2017,7,Import,4471.028120367855,31925.792673865883,MT
2508,Graphite ores,China,2017,7,Export,3994.575387354077,25629.217562154412,MT
2508,Graphite ores,Madagascar,2017,7,Export,2926.8290346691597,25133.366997124333,MT
2508,Graphite ores,Mozambique,2017,7,Export,1056.690640210418,36400.153647813764,MT
2508,Graphite ores,Sri Lanka,2017,7,Export,1475.7845759601935,2191.4823551412383,MT
2508,Graphite ores,Canada,2017,7,Export,3262.8142499451224,9678.423290945399,MT
2603,Copper ores,Chile,2017,8,Import,4708.24706332928,47742.50027312678,MT
2603,Copper ores,Australia,2017,8,Import,4582.835512080198,19137.776312516777,MT
2603,Copper ores,Indonesia,2017,8,Import,175.7374209914504,46487.60956679854,MT
2603,Copper ores,Peru,2017,8,Import,2198.1023267548403,48366.08613313981,MT
2603,Copper ores,USA,2017,8,Import,4821.7378877373385,42797.46331790064,MT
2603,Copper ores,Chile,2017,8,Export,1542.7995711409699,19869.788701494337,MT
2603,Copper ores,Australia,2017,8,Export,4270.569690432599,16529.178252657606,MT
2603,Copper ores,Indonesia,2017,8,Export,930.5144587618532,28283.26186045916,MT
2603,Copper ores,Peru,2017,8,Export,4687.158393387826,35105.46003707367,MT
2603,Copper ores,USA,2017,8,Export,2893.2997334378883,5761.648194767658,MT
2530,Lithium ores,Australia,2017,8,Import,3113.5354108259316,49512.6386551089,MT
2530,Lithium ores,Chile,2017,8,Import,786.4116746589677,26398.1529658231,MT
2530,Lithium ores,China,2017,8,Import,4399.128052446981,37297.66226995602,MT
2530,Lithium ores,Argentina,2017,8,Import,3515.377130876813,35421.720115368356,MT
2530,Lithium ores,Zimbabwe,2017,8,Import,1861.5066409768003,15386.000368960174,MT
2530,Lithium ores,Australia,2017,8,Export,4065.8696618447166,40695.55633927986,MT
2530,Lithium ores,Chile,2017,8,Export,4348.654361042508,45748.78707526709,MT
2530,Lithium ores,China,2017,8,Export,2605.5777544185953,25574.29843967278,MT
2530,Lithium ores,Argentina,2017,8,Export,4011.646376937198,32848.23260811049,MT
2530,Lithium ores,Zimbabwe,2017,8,Export,3539.637698562746,39993.84080236895,MT
2508,Graphite ores,China,2017,8,Import,4461.026174906075,17561.762685725254,MT
2508,Graphite ores,Madagascar,2017,8,Import,1940.3564679357257,5605.115052202581,MT
2508,Graphite ores,Mozambique,2017,8,Import,2933.5726908812526,2761.171416040362,MT
2508,Graphite ores,Sri Lanka,2017,8,Import,2381.4302888490547,27589.587100671255,MT
2508,Graphite ores,Canada,2017,8,Import,1504.0521354285936,29950.829767881525,MT
2508,Graphite ores,China,2017,8,Export,249.4512247013422,2830.061248711507,MT
2508,Graphite ores,Madagascar,2017,8,Export,4130.742747232325,18649.341429151882,MT
2508,Graphite ores,Mozambique,2017,8,Export,722.5965119942355,26589.919742685415,MT
2508,Graphite ores,Sri Lanka,2017,8,Export,3872.968410183193,11575.230347345316,MT
2508,Graphite ores,Canada,2017,8,Export,3152.163331513101,5182.0257846946315,MT
2603,Copper ores,Chile,2017,9,Import,353.2404337261777,27036.376946839253,MT
2603,Copper ores,Australia,2017,9,Import,2749.112095889522,32234.06517341212,MT
2603,Copper ores,Indonesia,2017,9,Import,3657.8475352410414,48816.75189366419,MT
2603,Copper ores,Peru,2017,9,Import,2629.8717066758572,16824.867174121053,MT
2603,Copper ores,USA,2017,9,Import,3996.412354366648,14270.780311841636,MT
2603,Copper ores,Chile,2017,9,Export,2250.959961457617,4844.3626857710315,MT
2603,Copper ores,Australia,2017,9,Export,224.2186427357418,48169.772319218326,MT
2603,Copper ores,Indonesia,2017,9,Export,4196.302590509808,35102.7360985912,MT
2603,Copper ores,Peru,2017,9,Export,2103.8694276299225,9491.421683471443,MT
2603,Copper ores,USA,2017,9,Export,866.5415090883216,13261.90201006517,MT
2530,Lithium ores,Australia,2017,9,Import,2791.2106570599904,36015.200212303054,MT
2530,Lithium ores,Chile,2017,9,Import,3334.967145916883,14716.7609503512,MT
2530,Lithium ores,China,2017,9,Import,4778.839875249651,37156.948918092654,MT
2530,Lithium ores,Argentina,2017,9,Import,2816.3348573058634,30974.31656548326,MT
2530,Lithium ores,Zimbabwe,2017,9,Import,2156.0403058961706,13138.818485556716,MT
2530,Lithium ores,Australia,2017,9,Export,1844.2661253911817,38134.459412754084,MT
2530,Lithium ores,Chile,2017,9,Export,170.52809428580377,6687.559384838895,MT
2530,Lithium ores,China,2017,9,Export,325.41294590658845,2995.7113136295366,MT
2530,Lithium ores,Argentina,2017,9,Export,4291.756861653936,35479.23510962116,MT
2530,Lithium ores,Zimbabwe,2017,9,Export,2423.4517625278936,5793.873871899073,MT
2508,Graphite ores,China,2017,9,Import,2508.9177880724787,24200.116768247717,MT
2508,Graphite ores,Madagascar,2017,9,Import,948.6891625590744,22258.73081266068,MT
2508,Graphite ores,Mozambique,2017,9,Import,2052.6731985471297,31176.654804558606,MT
2508,Graphite ores,Sri Lanka,2017,9,Import,3211.958889251455,3219.8964788301814,MT
2508,Graphite ores,Canada,2017,9,Import,1935.601811669709,31667.135869997583,MT
2508,Graphite ores,China,2017,9,Export,2565.3676670424297,42968.00221822779,MT
2508,Graphite ores,Madagascar,2017,9,Export,3327.5987949328305,8983.786926990055,MT
2508,Graphite ores,Mozambique,2017,9,Export,445.78686226210624,32478.544632109464,MT
2508,Graphite ores,Sri Lanka,2017,9,Export,229.9054216539469,29703.0034823997,MT
2508,Graphite ores,Canada,2017,9,Export,4707.128182982292,29198.234715918068,MT
2603,Copper ores,Chile,2017,10,Import,2002.0326384119574,32521.122703675304,MT
2603,Copper ores,Australia,2017,10,Import,2345.4391634084313,27735.22267648081,MT
2603,Copper ores,Indonesia,2017,10,Import,4713.177563004973,19919.02925223794,MT
2603,Copper ores,Peru,2017,10,Import,4809.833762737179,45362.18145584712,MT
2603,Copper ores,USA,2017,10,Import,1059.3765604675525,4398.703742883107,MT
2603,Copper ores,Chile,2017,10,Export,593.8122067493906,1892.8694569259367,MT
2603,Copper ores,Australia,2017,10,Export,562.7705077040491,34467.331897401484,MT
2603,Copper ores,Indonesia,2017,10,Export,448.82437745512203,16629.805884394304,MT
2603,Copper ores,Peru,2017,10,Export,4239.889023750327,2140.3248510554677,MT
2603,Copper ores,USA,2017,10,Export,4090.8955646857853,14810.883963896596,MT
2530,Lithium ores,Australia,2017,10,Import,679.0076553461156,35140.12110284338,MT
2530,Lithium ores,Chile,2017,10,Import,3181.8199492214317,43996.12866282559,MT
2530,Lithium ores,China,2017,10,Import,3701.8481146390404,40370.56558885758,MT
2530,Lithium ores,Argentina,2017,10,Import,1481.9694055994019,9694.537645206417,MT
2530,Lithium ores,Zimbabwe,2017,10,Import,3778.012283040206,40534.90222409594,MT
2530,Lithium ores,Australia,2017,10,Export,4953.475195803299,21218.2661686599,MT
2530,Lithium ores,Chile,2017,10,Export,1922.8886203846375,39044.23507635784,MT
2530,Lithium ores,China,2017,10,Export,1769.9373472397874,46607.10895457467,MT
2530,Lithium ores,Argentina,2017,10,Export,4306.222484030758,22020.7073413759,MT
2530,Lithium ores,Zimbabwe,2017,10,Export,3779.2682321783373,37972.60083014944,MT
2508,Graphite ores,China,2017,10,Import,605.3069572960698,45225.09242729877,MT
2508,Graphite ores,Madagascar,2017,10,Import,2575.7366249945,41496.41583927934,MT
2508,Graphite ores,Mozambique,2017,10,Import,1668.2430450499976,44880.63819631383,MT
2508,Graphite ores,Sri Lanka,2017,10,Import,2007.0882257973992,1531.0449225346197,MT
2508,Graphite ores,Canada,2017,10,Import,4536.3716844543915,5473.047162520545,MT
2508,Graphite ores,China,2017,10,Export,1664.636824193033,47553.03638548944,MT
2508,Graphite ores,Madagascar,2017,10,Export,4757.9750199940245,29098.45651804102,MT
2508,Graphite ores,Mozambique,2017,10,Export,3196.0023396320166,22973.830576937668,MT
2508,Graphite ores,Sri Lanka,2017,10,Export,1536.732781320516,17104.562723125884,MT
2508,Graphite ores,Canada,2017,10,Export,3395.340434777488,37866.35194244632,MT
2603,Copper ores,Chile,2017,11,Import,3978.737314256658,39691.28899693314,MT
2603,Copper ores,Australia,2017,11,Import,546.9099049385828,25226.59493042649,MT
2603,Copper ores,Indonesia,2017,11,Import,382.037924081557,27926.91523386304,MT
2603,Copper ores,Peru,2017,11,Import,2263.4994567295475,44497.50495515669,MT
2603,Copper ores,USA,2017,11,Import,1819.4835615051857,6736.283804952687,MT
2603,Copper ores,Chile,2017,11,Export,800.6592420588956,38314.02095415614,MT
2603,Copper ores,Australia,2017,11,Export,3129.2685102496794,5955.011130016722,MT
2603,Copper ores,Indonesia,2017,11,Export,512.1233499634875,35347.48744149688,MT
2603,Copper ores,Peru,2017,11,Export,456.5387311845483,41271.142905227454,MT
2603,Copper ores,USA,2017,11,Export,3560.5869130668316,4986.090251453088,MT
2530,Lithium ores,Australia,2017,11,Import,515.7047990174403,49345.339346557594,MT
2530,Lithium ores,Chile,2017,11,Import,1933.9268992049895,19161.465206277655,MT
2530,Lithium ores,China,2017,11,Import,4082.7178795617624,47415.180291809076,MT
2530,Lithium ores,Argentina,2017,11,Import,4931.405212732067,37915.53107768814,MT
2530,Lithium ores,Zimbabwe,2017,11,Import,1943.6719691014873,5091.5351182347695,MT
2530,Lithium ores,Australia,2017,11,Export,3908.0198880444404,28361.808237054447,MT
2530,Lithium ores,Chile,2017,11,Export,2178.687845310184,45411.364869642064,MT
2530,Lithium ores,China,2017,11,Export,644.8676633001415,25138.6301102521,MT
2530,Lithium ores,Argentina,2017,11,Export,155.63285936035345,23964.371457712186,MT
2530,Lithium ores,Zimbabwe,2017,11,Export,375.886050841003,6822.077897135524,MT
2508,Graphite ores,China,2017,11,Import,675.878609207814,32811.30480368712,MT
2508,Graphite ores,Madagascar,2017,11,Import,3755.6199084005743,29585.069489760823,MT
2508,Graphite ores,Mozambique,2017,11,Import,4814.645487525256,19368.6583966615,MT
2508,Graphite ores,Sri Lanka,2017,11,Import,1499.9892227811176,43561.357281283555,MT
2508,Graphite ores,Canada,2017,11,Import,1195.619608745318,48197.90443258995,MT
2508,Graphite ores,China,2017,11,Export,159.55692598010006,48524.06250867431,MT
2508,Graphite ores,Madagascar,2017,11,Export,311.483568557823,44666.01257120549,MT
2508,Graphite ores,Mozambique,2017,11,Export,2685.735434522869,49655.27500984572,MT
2508,Graphite ores,Sri Lanka,2017,11,Export,461.6031672034544,28138.859935664717,MT
2508,Graphite ores,Canada,2017,11,Export,4849.582424533585,26631.794364337293,MT
2603,Copper ores,Chile,2017,12,Import,3184.0533268627864,35091.68576024624,MT
2603,Copper ores,Australia,2017,12,Import,2327.251217362089,31750.34592411911,MT
2603,Copper ores,Indonesia,2017,12,Import,2963.140128423191,45156.74251405846,MT
2603,Copper ores,Peru,2017,12,Import,322.68726367314355,14767.196290019287,MT
2603,Copper ores,USA,2017,12,Import,4757.016271975138,44622.9254106549,MT
2603,Copper ores,Chile,2017,12,Export,2332.718088649993,31386.4972922753,MT
2603,Copper ores,Australia,2017,12,Export,1459.1677966075501,10217.936826464304,MT
2603,Copper ores,Indonesia,2017,12,Export,2372.1221842059126,18314.259173276587,MT
2603,Copper ores,Peru,2017,12,Export,2959.914948069273,4808.997211284257,MT
2603,Copper ores,USA,2017,12,Export,4874.534557564216,49324.32647950054,MT
2530,Lithium ores,Australia,2017,12,Import,3520.992398696751,27268.7219508619,MT
2530,Lithium ores,Chile,2017,12,Import,1616.685319803006,40875.95596564048,MT
2530,Lithium ores,China,2017,12,Import,3455.1827455140083,8968.230027899674,MT
2530,Lithium ores,Argentina,2017,12,Import,4563.543204019828,41304.32490323528,MT
2530,Lithium ores,Zimbabwe,2017,12,Import,4754.019575130428,36560.255911029635,MT
2530,Lithium ores,Australia,2017,12,Export,3105.7344600853703,21493.908778240326,MT
2530,Lithium ores,Chile,2017,12,Export,4670.369568434665,43437.13058552001,MT
2530,Lithium ores,China,2017,12,Export,321.5714835203281,2291.9817503653485,MT
2530,Lithium ores,Argentina,2017,12,Export,1944.670497702443,40717.11320830981,MT
2530,Lithium ores,Zimbabwe,2017,12,Export,4937.653033643228,8370.427664072882,MT
2508,Graphite ores,China,2017,12,Import,3011.240505225462,19663.651974920052,MT
2508,Graphite ores,Madagascar,2017,12,Import,4852.580549291556,42263.827233649725,MT
2508,Graphite ores,Mozambique,2017,12,Import,4207.810653084575,23965.964829953544,MT
2508,Graphite ores,Sri Lanka,2017,12,Import,2132.6155614545596,14396.946524604606,MT
2508,Graphite ores,Canada,2017,12,Import,376.2399335895429,43371.396436497605,MT
2508,Graphite ores,China,2017,12,Export,4083.21494473738,49986.165991020396,MT
2508,Graphite ores,Madagascar,2017,12,Export,4983.520501662137,28216.153574528744,MT
2508,Graphite ores,Mozambique,2017,12,Export,3868.0383343845015,47293.52076423897,MT
2508,Graphite ores,Sri Lanka,2017,12,Export,4263.272214319316,13120.056985416686,MT
2508,Graphite ores,Canada,2017,12,Export,2307.6662630194583,7328.811342423254,MT
2603,Copper ores,Chile,2018,1,Import,4774.85003356774,30702.557088093123,MT
2603,Copper ores,Australia,2018,1,Import,1220.3497469669674,33913.33353588698,MT
2603,Copper ores,Indonesia,2018,1,Import,3128.8283782436897,18549.973183609185,MT
2603,Copper ores,Peru,2018,1,Import,656.4322017781822,33907.08658404718,MT
2603,Copper ores,USA,2018,1,Import,2649.5077344285874,38843.60119504633,MT
2603,Copper ores,Chile,2018,1,Export,2648.8011554487675,42756.89351560846,MT
2603,Copper ores,Australia,2018,1,Export,2804.3435099949793,28485.960605233926,MT
2603,Copper ores,Indonesia,2018,1,Export,4395.6026530258905,20770.660444407455,MT
2603,Copper ores,Peru,2018,1,Export,756.6746194081396,2410.3511393536096,MT
2603,Copper ores,USA,2018,1,Export,3800.1725528007332,31395.168016319767,MT
2530,Lithium ores,Australia,2018,1,Import,3549.9908636861956,11435.243913936625,MT
2530,Lithium ores,Chile,2018,1,Import,768.2202303751718,1712.6886177262145,MT
2530,Lithium ores,China,2018,1,Import,1817.8790381523252,29905.966655877022,MT
2530,Lithium ores,Argentina,2018,1,Import,2021.9958209886884,22436.271179162723,MT
2530,Lithium ores,Zimbabwe,2018,1,Import,4530.377603019368,18064.51788414172,MT
2530,Lithium ores,Australia,2018,1,Export,2618.548496883073,39398.99762431601,MT
2530,Lithium ores,Chile,2018,1,Export,2043.0596333742237,31482.2483111658,MT
2530,Lithium ores,China,2018,1,Export,4325.582172859052,47526.510559224465,MT
2530,Lithium ores,Argentina,2018,1,Export,820.6600565522859,46402.79363291323,MT
2530,Lithium ores,Zimbabwe,2018,1,Export,2511.369836089737,13653.97502664896,MT
2508,Graphite ores,China,2018,1,Import,2349.7652055674803,49021.59618898838,MT
2508,Graphite ores,Madagascar,2018,1,Import,2513.828660565061,17108.828904087903,MT
2508,Graphite ores,Mozambique,2018,1,Import,3203.664186151956,12767.13532013146,MT
2508,Graphite ores,Sri Lanka,2018,1,Import,471.7303077324532,7315.106373621812,MT
2508,Graphite ores,Canada,2018,1,Import,727.424610893085,8443.231982102423,MT
2508,Graphite ores,China,2018,1,Export,780.2531459821097,32402.862495357516,MT
2508,Graphite ores,Madagascar,2018,1,Export,991.2124135558097,17937.6968828693,MT
2508,Graphite ores,Mozambique,2018,1,Export,4494.263208539458,24224.120372880745,MT
2508,Graphite ores,Sri Lanka,2018,1,Export,3371.0329187530333,9443.673688879862,MT
2508,Graphite ores,Canada,2018,1,Export,1042.2161921624868,3002.5621970574643,MT
2603,Copper ores,Chile,2018,2,Import,927.7818090536063,14650.926612565972,MT
2603,Copper ores,Australia,2018,2,Import,967.3513729560594,5346.424154095725,MT
2603,Copper ores,Indonesia,2018,2,Import,691.115768392944,23578.15963360356,MT
2603,Copper ores,Peru,2018,2,Import,1111.0352201883834,18849.223191355697,MT
2603,Copper ores,USA,2018,2,Import,2566.744627188799,34829.3466028389,MT
2603,Copper ores,Chile,2018,2,Export,292.6294852213848,40171.10954654309,MT
2603,Copper ores,Australia,2018,2,Export,3176.711908505448,5006.192565494724,MT
2603,Copper ores,Indonesia,2018,2,Export,4380.535258123208,46122.747626058845,MT
2603,Copper ores,Peru,2018,2,Export,399.28200328883236,14567.004759212983,MT
2603,Copper ores,USA,2018,2,Export,4050.3862709860005,37664.72482879926,MT
2530,Lithium ores,Australia,2018,2,Import,1004.1529948462489,11258.116843498805,MT
2530,Lithium ores,Chile,2018,2,Import,1915.3133036777717,24741.626274360045,MT
2530,Lithium ores,China,2018,2,Import,3129.44838049845,19076.76833891885,MT
2530,Lithium ores,Argentina,2018,2,Import,2366.420109052425,37626.07596855407,MT
2530,Lithium ores,Zimbabwe,2018,2,Import,279.74769416392974,13369.410272857016,MT
2530,Lithium ores,Australia,2018,2,Export,3595.412970834307,44865.13504667277,MT
2530,Lithium ores,Chile,2018,2,Export,2607.219466366764,27073.56077800047,MT
2530,Lithium ores,China,2018,2,Export,625.1428555649027,22923.20597434928,MT
2530,Lithium ores,Argentina,2018,2,Export,2709.8246056296134,12881.054678101753,MT
2530,Lithium ores,Zimbabwe,2018,2,Export,1419.2918316519667,19486.92399212651,MT
2508,Graphite ores,China,2018,2,Import,198.3488691108592,16781.879113575735,MT
2508,Graphite ores,Madagascar,2018,2,Import,1136.0952342830687,17047.37025671782,MT
2508,Graphite ores,Mozambique,2018,2,Import,686.834445914331,44635.83675625485,MT
2508,Graphite ores,Sri Lanka,2018,2,Import,3008.6030224148385,34276.01363807999,MT
2508,Graphite ores,Canada,2018,2,Import,3966.9390691759577,25423.667747523807,MT
2508,Graphite ores,China,2018,2,Export,525.9094116283761,27318.220549108843,MT
2508,Graphite ores,Madagascar,2018,2,Export,2975.5214783023075,37526.534235032166,MT
2508,Graphite ores,Mozambique,2018,2,Export,2215.131776525429,7251.434836982624,MT
2508,Graphite ores,Sri Lanka,2018,2,Export,1490.50193841375,18791.03252353312,MT
2508,Graphite ores,Canada,2018,2,Export,3264.994482524846,28968.136928776683,MT
2603,Copper ores,Chile,2018,3,Import,1844.8739568994465,49339.247190856004,MT
2603,Copper ores,Australia,2018,3,Import,3068.296614848747,12624.11279506373,MT
2603,Copper ores,Indonesia,2018,3,Import,598.7341158399784,8490.09782003227,MT
